City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Iqaluit,CA,63.75,-68.51,48.2,76,40,3.36,scattered clouds
1,Sarahan,IN,31.52,77.8,63.54,76,54,1.45,broken clouds
2,Puerto Ayora,EC,-0.74,-90.35,75.2,60,40,14.99,scattered clouds
3,Saskylakh,RU,71.92,114.08,40.93,83,0,8.16,clear sky
4,Port Hedland,AU,-20.32,118.57,66.2,55,0,8.05,clear sky
5,Coquimbo,CL,-29.95,-71.34,55.4,66,90,18.34,overcast clouds
6,Busselton,AU,-33.65,115.33,45.0,77,1,4.61,clear sky
7,Punta Arenas,CL,-53.15,-70.92,37.4,55,40,28.86,scattered clouds
8,Barrow,US,71.29,-156.79,37.4,100,90,14.99,mist
9,Nome,US,64.5,-165.41,51.8,81,90,9.17,overcast clouds
10,Saldanha,ZA,-33.01,17.94,59.0,72,91,4.7,overcast clouds
11,Kapaa,US,22.08,-159.32,80.6,78,40,11.41,scattered clouds
12,Borinskoye,RU,52.46,39.37,68.0,49,52,2.24,broken clouds
13,New Norfolk,AU,-42.78,147.06,39.0,86,34,1.01,scattered clouds
14,Mumford,GH,5.26,-0.76,74.77,87,12,12.75,few clouds
15,Kalach-Na-Donu,RU,48.69,43.53,64.0,42,20,4.47,few clouds
16,Taiyuan,CN,37.87,112.56,69.8,83,90,6.71,light rain
17,Catamarca,AR,-28.47,-65.79,73.99,23,46,1.99,scattered clouds
18,Namibe,AO,-15.2,12.15,66.74,87,40,4.88,scattered clouds
19,Kaohsiung,TW,22.62,120.31,84.2,79,75,8.05,thunderstorm
20,Ganzhou,CN,28.82,115.43,80.53,79,0,3.42,clear sky
21,Albany,US,42.6,-73.97,86.0,60,7,2.75,clear sky
22,Butaritari,KI,3.07,172.79,82.96,67,71,9.64,broken clouds
23,Bluff,NZ,-46.6,168.33,44.01,92,40,4.0,scattered clouds
24,Victoria,HK,22.29,114.16,84.0,79,96,8.01,overcast clouds
25,Kaitangata,NZ,-46.28,169.85,53.01,89,97,15.99,overcast clouds
26,Kodiak,US,57.79,-152.41,57.2,82,90,3.47,light rain
27,Mataura,NZ,-46.19,168.86,44.01,92,41,4.0,scattered clouds
28,Rikitea,PF,-23.12,-134.97,69.71,83,73,23.49,broken clouds
29,Hermanus,ZA,-34.42,19.23,57.0,93,100,6.76,overcast clouds
30,Atuona,PF,-9.8,-139.03,78.13,78,20,16.8,light rain
31,Lompoc,US,34.64,-120.46,73.99,73,1,5.82,clear sky
32,Dikson,RU,73.51,80.55,46.51,78,0,9.6,clear sky
33,Hasaki,JP,35.73,140.83,75.2,94,40,6.93,mist
34,Panaba,MX,21.28,-88.27,94.14,51,90,2.98,overcast clouds
35,Riyadh,SA,24.69,46.72,105.8,12,63,5.82,broken clouds
36,Ilulissat,GL,69.22,-51.1,46.4,52,2,3.36,clear sky
37,Qaanaaq,GL,77.48,-69.36,37.65,83,100,2.15,overcast clouds
38,Maceio,BR,-9.67,-35.74,82.4,58,40,11.41,scattered clouds
39,Jamestown,US,42.1,-79.24,77.0,83,75,3.36,broken clouds
40,Laguna,US,38.42,-121.42,84.0,47,1,5.46,clear sky
41,La Rioja,ES,42.25,-2.5,77.0,41,72,6.93,broken clouds
42,Tuktoyaktuk,CA,69.45,-133.04,57.2,76,40,11.41,scattered clouds
43,Hithadhoo,MV,-0.6,73.08,82.56,77,42,11.18,moderate rain
44,Oktyabrskiy,RU,54.48,53.47,55.35,84,0,2.71,clear sky
45,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,few clouds
46,Benghazi,LY,32.12,20.07,80.01,73,0,13.51,clear sky
47,Samarai,PG,-10.62,150.67,75.34,76,100,14.79,overcast clouds
48,Muroto,JP,33.28,134.15,82.4,76,44,5.1,scattered clouds
49,Vaini,TO,-21.2,-175.2,73.4,94,20,5.82,few clouds
50,Castro,BR,-24.79,-50.01,58.1,68,27,10.38,scattered clouds
51,Airai,TL,-8.93,125.41,57.07,36,65,4.07,broken clouds
52,Esna,EG,25.29,32.55,95.0,23,0,4.7,clear sky
53,Lagoa,PT,39.05,-27.98,73.81,88,37,15.46,scattered clouds
54,Yamada,JP,39.47,141.95,71.1,87,99,3.65,overcast clouds
55,Mecca,SA,21.43,39.83,93.6,24,20,4.92,few clouds
56,Kubinka,RU,55.58,36.69,68.0,63,97,6.71,overcast clouds
57,Tual,ID,-5.67,132.75,78.28,81,73,18.39,broken clouds
58,Thompson,CA,55.74,-97.86,48.2,100,90,6.93,light rain
59,Khatanga,RU,71.97,102.5,54.81,67,88,9.71,overcast clouds
60,Chapais,CA,49.78,-74.85,66.2,55,90,11.41,overcast clouds
61,Anadyr,RU,64.75,177.48,50.0,93,40,4.47,scattered clouds
62,Salinopolis,BR,-0.61,-47.36,82.54,79,35,10.8,light rain
63,Vestmannaeyjar,IS,63.44,-20.27,55.4,71,88,11.41,overcast clouds
64,Villa Bruzual,VE,9.33,-69.12,83.89,76,63,3.96,light rain
65,Port Elizabeth,ZA,-33.92,25.57,59.0,82,20,16.11,few clouds
66,Cape Town,ZA,-33.93,18.42,61.0,87,100,10.29,overcast clouds
67,Hobart,AU,-42.88,147.33,42.01,80,40,6.93,scattered clouds
68,Avarua,CK,-21.21,-159.78,71.6,78,3,3.36,clear sky
69,Acarau,BR,-2.89,-40.12,83.75,61,0,22.37,clear sky
70,Caravelas,BR,-17.71,-39.25,68.09,86,100,12.3,light rain
71,Oranjemund,NA,-28.55,16.43,55.2,87,0,8.19,clear sky
72,Okha,RU,53.57,142.95,47.84,93,0,3.22,clear sky
73,Mayumba,GA,-3.43,10.66,73.71,84,50,8.43,scattered clouds
74,Ushuaia,AR,-54.8,-68.3,35.6,74,20,12.75,few clouds
75,Mahebourg,MU,-20.41,57.7,71.6,73,20,17.22,few clouds
76,Rawson,AR,-43.3,-65.1,64.85,28,78,7.02,broken clouds
77,San Lazaro,BZ,18.04,-88.66,89.6,74,75,9.17,broken clouds
78,Magnolia,US,33.27,-93.24,91.0,58,1,8.01,clear sky
79,Gurupi,BR,-11.73,-49.07,96.69,23,50,6.73,scattered clouds
80,Chakulia,IN,22.48,86.72,79.81,86,100,3.85,overcast clouds
81,Nepomuk,CZ,49.49,13.58,64.0,92,7,6.11,clear sky
82,Kavieng,PG,-2.57,150.8,77.72,89,100,9.93,light rain
83,Ayagoz,KZ,47.97,80.44,64.08,40,97,6.02,overcast clouds
84,Bambous Virieux,MU,-20.34,57.76,72.0,73,20,17.22,few clouds
85,Fairbanks,US,64.84,-147.72,57.99,93,75,3.36,broken clouds
86,Bredasdorp,ZA,-34.53,20.04,59.0,82,100,4.7,overcast clouds
87,Wewak,PG,-3.55,143.63,77.45,84,98,0.81,moderate rain
88,Elko,US,41.0,-115.5,82.0,18,1,2.15,haze
89,Puerto Escondido,MX,15.85,-97.07,82.4,65,90,6.93,overcast clouds
90,Jurado,CO,7.11,-77.76,80.11,83,81,6.44,light rain
91,Seoul,KR,37.57,126.98,75.2,83,90,0.38,overcast clouds
92,Tilichiki,RU,60.47,166.1,43.27,89,95,7.14,overcast clouds
93,Gazli,UZ,40.13,63.45,88.92,12,72,14.79,broken clouds
94,Carauari,BR,-4.88,-66.9,96.46,29,3,1.23,clear sky
95,Arlit,NE,18.74,7.39,96.53,29,79,10.96,light rain
96,Jashpurnagar,IN,22.9,84.15,73.87,84,100,2.82,overcast clouds
97,Sukhovolya,UA,49.82,23.84,64.4,93,75,4.47,broken clouds
98,Port Alfred,ZA,-33.59,26.89,58.82,81,1,8.63,clear sky
99,Forrest City,US,35.01,-90.79,87.8,45,1,3.36,clear sky
100,Faanui,PF,-16.48,-151.75,76.46,78,6,19.75,clear sky
101,San Patricio,MX,19.22,-104.7,86.0,74,75,6.93,broken clouds
102,Port Antonio,JM,18.18,-76.46,91.0,74,75,6.93,broken clouds
103,Arraial Do Cabo,BR,-22.97,-42.03,73.4,64,75,4.7,broken clouds
104,Saint-Philippe,RE,-21.36,55.77,68.0,72,24,4.7,few clouds
105,Bubaque,GW,11.28,-15.83,80.22,81,100,12.01,overcast clouds
106,Montrose,US,38.42,-108.27,84.0,26,94,3.0,overcast clouds
107,Fortuna,US,40.6,-124.16,60.01,93,90,6.93,overcast clouds
108,Rio Cuarto,AR,-33.13,-64.35,69.8,11,0,35.57,dust
109,Aykhal,RU,66.0,111.5,48.2,66,0,6.71,clear sky
110,Kisangani,CD,0.52,25.2,70.92,92,81,2.19,broken clouds
111,Longyan,CN,25.11,117.02,74.57,85,22,1.97,light rain
112,Tahlequah,US,35.92,-94.97,88.0,52,1,5.55,clear sky
113,Quesnel,CA,53.0,-122.5,51.8,81,1,2.24,clear sky
