City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2020-08-23 23:58:23,-54.8,-68.3,32.0,93,75,14.99
1,Tasiilaq,GL,2020-08-23 23:58:23,65.61,-37.64,37.4,100,0,5.82
2,Rikitea,PF,2020-08-23 23:58:23,-23.12,-134.97,70.75,84,79,20.29
3,Khatanga,RU,2020-08-23 23:58:24,71.97,102.5,59.31,62,98,10.11
4,Mindelo,CV,2020-08-23 23:58:24,16.89,-24.98,78.03,81,60,6.44
5,Airai,TL,2020-08-23 23:58:25,-8.93,125.41,67.8,39,38,6.08
6,Cabo San Lucas,MX,2020-08-23 23:58:25,22.89,-109.91,91.4,58,5,10.29
7,Tiarei,PF,2020-08-23 23:58:26,-17.53,-149.33,84.2,62,20,6.93
8,East London,ZA,2020-08-23 23:55:06,-33.02,27.91,59.45,76,20,7.54
9,Katsuura,JP,2020-08-23 23:58:27,35.13,140.3,82.99,73,99,4.0
10,Punta Arenas,CL,2020-08-23 23:58:28,-53.15,-70.92,33.8,80,75,23.04
11,Petropavlovsk-Kamchatskiy,RU,2020-08-23 23:58:28,53.05,158.65,60.8,77,40,8.95
12,Vrutky,SK,2020-08-23 23:58:28,49.11,18.92,57.2,93,71,2.24
13,Albany,US,2020-08-23 23:58:29,42.6,-73.97,71.01,91,23,3.36
14,Cape Town,ZA,2020-08-23 23:56:16,-33.93,18.42,59.0,87,20,9.17
15,Boone,US,2020-08-23 23:58:30,39.03,-92.33,89.01,54,0,4.52
16,Clyde River,CA,2020-08-23 23:58:31,70.47,-68.59,42.08,87,100,4.27
17,Presidencia Roque Saenz Pena,AR,2020-08-23 23:58:31,-26.79,-60.44,64.92,46,54,5.3
18,Saint-Philippe,RE,2020-08-23 23:58:32,-21.36,55.77,66.2,63,36,4.7
19,Yellowknife,CA,2020-08-23 23:58:32,62.46,-114.35,62.6,48,20,2.24
20,Avarua,CK,2020-08-23 23:56:39,-21.21,-159.78,78.8,69,6,5.82
21,Vaini,TO,2020-08-23 23:58:33,-21.2,-175.2,82.4,74,20,8.05
22,Santa Marta,CO,2020-08-23 23:58:33,11.24,-74.2,75.99,88,77,9.01
23,Lompoc,US,2020-08-23 23:58:34,34.64,-120.46,77.0,69,1,12.75
24,Yerbogachen,RU,2020-08-23 23:58:34,61.28,108.01,51.69,56,26,8.39
25,Richards Bay,ZA,2020-08-23 23:58:35,-28.78,32.04,62.62,81,0,6.2
26,Hermanus,ZA,2020-08-23 23:58:35,-34.42,19.23,55.0,95,100,5.82
